,node_connectivity,degree_assortativity_coefficient,density,is_bipartite,spectral_bipartivity,global_reaching_centrality,transitivity,average_clustering,is_strongly_connected,is_weakly_connected,is_attracting_component,is_semiconnected,edge_connectivity,is_directed_acyclic_graph,is_aperiodic,diameter,radius,is_distance_regular,is_strongly_regular,is_eulerian,number_of_isolates,overall_reciprocity,is_regular,negative_edge_cycle,s_metric,is_threshold_graph,is_tournament,is_arborescence,is_branching,is_triad,wiener_index,trophic_incoherence_parameter
2017-12-08,0.0,0.15811388300841883,0.125,0.0,1.0,0.265625,0.3333333333333333,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-11,0.0,,0.1527777777777778,0.0,1.0,0.5625,0.25,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-12,0.0,,0.1388888888888889,0.0,1.0,0.265625,0.3,0.35185185185185186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-13,0.0,-0.3333333333333333,0.1111111111111111,0.0,1.0,0.296875,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-14,0.0,-0.14199045856176642,0.1,0.0,1.0,0.2592592592592593,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-15,0.0,0.4999999999999995,0.2,0.0,1.0,0.2,0.5,0.19444444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-18,0.0,0.5477225575051663,0.125,0.0,1.0,0.16326530612244897,0.5,0.14583333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-19,0.0,0.0,0.14285714285714285,0.0,1.0,0.2857142857142857,0.25,0.14583333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,inf,1.6216820540877828
2017-12-20,0.0,0.0,0.14285714285714285,0.0,1.0,0.12244897959183672,0.25,0.14583333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-21,0.0,-0.21320071635560991,0.16071428571428573,0.0,1.0,0.24489795918367344,0.16666666666666666,0.10416666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
